
	Position			X			Y			Z			Units
	WC_wire0_phys76_pos		-20.31247779		-1.777111535		0.000153156		mm
	WC_wire0_phys77_pos		57.6876801		5.047018034		0.000151306		mm
	WC_wire0_phys78_pos		135.687838		11.8711476		0.000149456		mm
	WC_wire0_phys79_pos		213.687996		18.69527718		0.000147606		mm
	WC_wire0_phys80_pos		291.6881538		25.51940674		0.000145756		mm
	WC_wire0_phys81_pos		369.6883117		32.34353631		0.000143896		mm
	WC_wire0_phys82_pos		447.6884696		39.16766588		0.000142046		mm
	WC_wire0_phys83_pos		525.6886275		45.99179545		0.000140196		mm
	WC_wire0_phys84_pos		603.6887854		52.81592502		0.000138346		mm
	WC_wire0_phys85_pos		681.6889433		59.64005459		0.000136496		mm
	WC_wire0_phys86_pos		759.6891012		66.46418416		0.000134646		mm
	WC_wire0_phys87_pos		837.6892591		73.28831373		0.000132796		mm
	WC_wire0_phys88_pos		915.689417		80.1124433		0.000130946		mm
	WC_wire0_phys89_pos		993.6895749		86.93657287		0.000129096		mm
	WC_wire0_phys90_pos		-1303.448507		114.0369678		-4.73E-05		mm
	WC_wire0_phys91_pos		-1225.448609		107.212861		-4.98E-05		mm
	WC_wire0_phys92_pos		-1147.448712		100.3887543		-5.23E-05		mm
	WC_wire0_phys93_pos		-1069.448815		93.56464751		-5.47E-05		mm
	WC_wire0_phys94_pos		-991.4489166		86.74054067		-5.72E-05		mm
	WC_wire0_phys95_pos		-913.4490196		79.91643392		-5.97E-05		mm
	WC_wire0_phys96_pos		-835.4491225		73.09232717		-6.22E-05		mm
	WC_wire0_phys97_pos		-757.449225		66.26822039		-6.47E-05		mm
	WC_wire0_phys98_pos		-679.4493277		59.44411361		-6.71E-05		mm
	WC_wire0_phys99_pos		-601.4494303		52.62000684		-6.96E-05		mm
	WC_wire0_phys100_pos		-523.4495329		45.79590006		-7.21E-05		mm
	WC_wire0_phys101_pos		-445.4496356		38.97179329		-7.46E-05		mm
	WC_wire0_phys102_pos		-367.4497382		32.14768651		-7.71E-05		mm
	WC_wire0_phys103_pos		-289.4498409		25.32357973		-7.95E-05		mm
	WC_wire0_phys104_pos		-211.4499435		18.49947296		-8.2E-05		mm
	WC_wire0_phys105_pos		-133.4500462		11.67536619		-8.45E-05		mm
	WC_wire0_phys106_pos		-55.45014887		4.851259417		-8.7E-05		mm
	WC_wire0_phys107_pos		22.5497485		-1.972847359		-8.95E-05		mm
	WC_wire0_phys108_pos		100.5496459		-8.796954134		-9.19E-05		mm
	WC_wire0_phys109_pos		178.5495433		-15.62106091		-9.44E-05		mm
	WC_wire0_phys110_pos		256.5494406		-22.44516769		-9.69E-05		mm
	WC_wire0_phys111_pos		334.549338		-29.26927446		-9.94E-05		mm
	WC_wire0_phys112_pos		412.5492353		-36.09338124		-0.0001019		mm
	WC_wire0_phys113_pos		490.5491327		-42.91748801		-0.0001043		mm
	WC_wire0_phys114_pos		568.54903		-49.74159479		-0.0001068		mm
	WC_wire0_phys115_pos		646.5489274		-56.56570156		-0.0001093		mm
	WC_wire0_phys116_pos		724.5488248		-63.38980834		-0.0001118		mm
	WC_wire0_phys117_pos		802.5487221		-70.21391511		-0.0001143		mm
	WC_wire0_phys118_pos		880.5486195		-77.03802189		-0.0001167		mm
	WC_wire0_phys119_pos		958.5485169		-83.86212866		-0.0001192		mm
	WC_wire0_phys120_pos		1036.548414		-90.68623544		-0.0001217		mm
	WC_wire0_phys121_pos		1114.548312		-97.51034222		-0.0001242		mm
	WC_wire0_phys122_pos		1192.548209		-104.334449		-0.0001267		mm
	WC_wire0_phys123_pos		1270.548106		-111.1585558		-0.0001291		mm
	WC_wire0_phys124_pos		-1348.151988		-117.9480157		0.0002359		mm
	WC_wire0_phys125_pos		-1270.152058		-111.1239061		0.0002328		mm
